season,week,game_id,away_team,home_team,prior_weight,away_prior_rating,home_prior_rating,away_current_rating,home_current_rating,away_rating_used,home_rating_used,rating_diff,rating_scale,hfa,model_margin,model_spread,market_margin,model_edge,abs_edge,actual_margin,ats_result
2017,1,2017_01_ARI_DET,ARI,DET,1.0,3.5195201120534896,-3.830480717793204,,,3.5195201120534896,-3.830480717793204,-7.350000829846694,0.516,1.744,-2.048600428200894,2.048600428200894,-2.5,0.45139957179910617,0.45139957179910617,12.0,W
2017,1,2017_01_ATL_CHI,ATL,CHI,1.0,8.081830331574057,-6.384326361065821,,,8.081830331574057,-6.384326361065821,-14.466156692639878,0.516,1.744,-5.720536853402177,5.720536853402177,-6.5,0.7794631465978226,0.7794631465978226,-6.0,W
2017,1,2017_01_BAL_CIN,BAL,CIN,1.0,-0.5052461156434789,2.559939689188654,,,-0.5052461156434789,2.559939689188654,3.065185804832133,0.516,1.744,3.3256358752933806,-3.3256358752933806,2.5,0.8256358752933806,0.8256358752933806,-20.0,L
2017,1,2017_01_CAR_SF,CAR,SF,1.0,-2.2538285634071737,-9.922083017487292,,,-2.2538285634071737,-9.922083017487292,-7.6682544540801185,0.516,1.744,-2.212819298305341,2.212819298305341,-4.5,2.287180701694659,2.287180701694659,-20.0,L
2017,1,2017_01_IND_LA,IND,LA,1.0,-3.536703620022965,-15.536201604726275,,,-3.536703620022965,-15.536201604726275,-11.999497984703309,0.516,1.744,-4.447740960106908,4.447740960106908,3.5,-7.947740960106908,7.947740960106908,37.0,L
2017,1,2017_01_JAX_HOU,JAX,HOU,1.0,-2.7590771225918242,-0.9548559326840298,,,-2.7590771225918242,-0.9548559326840298,1.8042211899077945,0.516,1.744,2.674978133992422,-2.674978133992422,5.5,-2.825021866007578,2.825021866007578,-22.0,W
2017,1,2017_01_KC_NE,KC,NE,1.0,3.6175625629788435,8.182133636563716,,,3.6175625629788435,8.182133636563716,4.564571073584872,0.516,1.744,4.099318673969794,-4.099318673969794,8.0,-3.900681326030206,3.900681326030206,-15.0,W
2017,1,2017_01_LAC_DEN,LAC,DEN,1.0,1.5481380254398585,4.800621292185527,,,1.5481380254398585,4.800621292185527,3.2524832667456685,0.516,1.744,3.4222813656407647,-3.4222813656407647,3.0,0.4222813656407647,0.4222813656407647,3.0,P
2017,1,2017_01_NO_MIN,NO,MIN,1.0,1.8955526212377736,3.347999115007446,,,1.8955526212377736,3.347999115007446,1.4524464937696724,0.516,1.744,2.493462390785151,-2.493462390785151,3.0,-0.506537609214849,0.506537609214849,10.0,L
2017,1,2017_01_NYG_DAL,NYG,DAL,1.0,1.560479379599001,8.168928163248408,,,1.560479379599001,8.168928163248408,6.608448783649407,0.516,1.744,5.153959572363094,-5.153959572363094,6.0,-0.8460404276369058,0.8460404276369058,16.0,L
